id,date,words
16,2015.04.16,"一般,財団,法人,建築,保全,センター,地方,公共,団体,保有,施設,保全,情報,一元,的,管理,保全,業務,総合,的,施設,計画,支援,BIMMS,展開,自治体,FM,先駆,者,青森,県,はじめ,42,都道府県,政令市,40,市区,町村,82,多数,自治体,施設,保全,マネジメント,実施,活用,2015,年,3,月,現在,BIMMS,Building,Information,system,for,Maintenance,Management,Support,略,利用,者,インターネット,アプリケーション,利用,建物,運用,保全,財産,管理,者,施設,管理,者,情報,工事,担当,営繕,部門,情報,一元,管理,地方,公共,団体,全体,既存,施設,有効,活用,意思,決定,支援,可能,BIMMS,2002,年度,全国,営繕,主管,課長,会議,付託,事項,システム,検討,"
17,2015.04.16,"一般,社団,法人,日本,建設,業,連合,会,以下,日建,連,建築,生産,委員,会,部会,IT,推進,部会,IT,活用,総合,的,建築,生産,効率,化,目的,IT,活用,推進,策,建築,産業,界,共通,課題,整理,生産,情報,共通,化,標準,化,検討,IT,推進,部会,4,傘下,専門,部会,そ,専門,部会,1,BIM,専門,部会,BIM,有効,活用,ゼネコン,専門,工事,会社,BIM,ソフトベンダー,連携,施工,段階,BIM,仕様,利用,方法,標準,化,推進,必要,BIM,専門,部会,そ,推進,日建,連,会員,各社,専門,工事,会社,連絡,関連,団体,業界,標準,化,推進,施工,段階,BIM,活用,メリット,増大,目的,活動,"
18,2015.04.16,"米国,グリーン,ビルディング,協会,USGBC,ロジャー,プラット,代表,3,月,来日,建物,環境,性能,評価,システム,LEED,日本語,版,制作,着手,発表,LEED,21,種類,認証,システム,うち,新築,内装,2,システム,概要,専門,資格,LEED,Green,Associate,受験,要綱,試験,年内,日本語,化,段階,的,分野,上位,資格,試験,日本語,化,方針,日本,建築,環境,省エネルギー,機構,(,IBEC,),運営,CASBEE,建築,環境,総合,性能,評価,システム,活用,プラット,代表,CASBEE,目的,点,たくさん,CASBEE,認証,取得,建物,GBIG,(,USGBC,データベース,),掲載,同様,評価,LEED,CASBEE,連携,"
19,2015.04.16,"国土,交通省,関東,地方,整備,局,2015,年度,基本,設計,着手,土浦,労働,総合,庁舎,3,件,目,BIM,導入,プロジェクト,実施,関東,地方,整備,局,BIM,導入,設定,新宿,労働,総合,庁舎,前橋,地方,合同庁舎,2,件,設計,施工,段階,BIM,モデル,活用,検証,今回,プロジェクト,維持,管理,必要,情報,BIM,モデル,検証,主題,設計,施工,段階,作成,データ,維持,管理,必要,情報,抽出,維持,管理,用,BIM,モデル,構築,上,必要,情報,機能,検証,方針,土浦,労働,総合,庁舎,外,15,設計,業務,基本,実施,設計,自体,BIM,化,指定,維持,管理,情報,作成,必要,BIM,モデル,作成,案件,公募,型,プロポーザル,方式,参加,表明,書,申請,4,月,10,日,技術,提案,書,提出,期限,6,月,1,日,履行,期間,7,月,中旬,2016,年,3,月,30,日,予定,"
20,2015.04.16,"公益社,団,法人,日本,ファシリティ,マネジメント,協会,(,以下,JFMA,),ファシリティ,マネジャー,BIM,活用,ガイドブック,4,月,30,日,発行,同書,JFMABIM,FM,研究,部会,2,年,200,ページ,力作,内容,BIM,何,解説,始まり,FM,BIM,効果,BIM,FM,国内外,先進,事例,FM,BIM,活用,ポイント,BIM,活用,FM,6,ビジネス,モデル,提案,魅力,的,情報,満載,一,冊,ファシリティ,マネジャー,設計,施工,BIM,活用,人,建築,主,BIM,導入,設計,事務所,建設,会社,人,大変,参考,内容,発売,4,月,30,日,予定,価格,3,,,000,円,(,JFMA,会員,2,,,500,円,いずれ,税別,送料,別,)。,同書,情報,近日,クローズアップ,紹介,"
21,2015.04.16,"建築,コンピュテーションポータルサイト,ArchiFuture,Web,4,月,16,日,オープン,ヘッドラインマガジンファインダー,3,カテゴリー,構成,コラム,団体,トレンド,クローズアップ,多数,独自,コンテンツ,最新,10,行,ニュース,イベント,セミナー,情報,多彩,内容,コラム,ArchiFuture,s,Eye,ArchiFuture,実行,委員,会,メンバー,建築,分野,今後,方向,性,コンピュテーション,活用,可能,性,独自,視点,紹介,連載,記事,最新,10,行,ニュース,団体,トレンド,人的,ネットワーク,情報,収集,ArchiFuture,記事,オープン,日,多数,掲載,ArchiFuture,Web,今後,建築,コンピュテーション,関連,有効,情報,提供,ArchiFuture,多様,情報,発信,"
22,2015.04.17,"一般,財団,法人,建築,保全,センター,本年,秋,BIM,ライブラリー,コンソーシアム,(,仮称,),設立,発表,コンソーシアム,産官学,団体,企業,大学,予定,設立,2,年,後,めど,BIM,ライブラリー,構築,建築,保全,センター,BIM,ライブラリー,構築,足がかり,建設,業,振興,基金,運営,設計,製造,情報,化,評議,会,(,CCADEC,),成果,物,機器,ライブラリー,Stem,建築,設備,CAD,間,使用,部品,属性,CAD,データ,交換,仕様,BEBridge,調印,式,4,月,14,日,機器,ライブラリー,Stem,空調,機器,66,,,833,件,登録,コンソーシアム,Stem,ほか,建具,はじめ,建材,ライブラリー,新た,構築,2017,年,末,頃,めど,BIM,ライブラリー,構築,予定,"
24,2015.04.20,"戸田建設,施工,中,発生,CO,2,排出,量,削減,強化,同社,TOMINICA,炭素,施工,システム,Web,版,改良,システム,建設,作業,所,施工,中,排出,CO,2,量,事前,計算,削減,計画,立案,実行,結果,エネルギー,データ,収集,システム,従来,システム,データ,入力,すべて,作業,所,PC,同社,社員,Web,上,データ,入力,可能,PC,ほか,タブレットスマートフォン,入力,可能,同社,協力,会社,メンバー,一員,データ,入力,よう,そ,インプット,作業,時間,55,%,削減,可能,同社,システム,1,年,後,全国,作業,所,140,ヵ所,展開,予定,CO,2,排出,削減,活動,強化,方針,"
25,2015.04.21,"清水建設,同社,設計,施工,S,造,鉄骨,製,作図,作成,鉄骨,工事,BIM,活用,一貫,管理,効率,化,内,製,化,鉄骨,エンジニアリング,体制,確立,体制,確立,同社,関係,会社,鉄骨,ファブリケーター・,片山,ストラテックノウハウ,融合,BIM,構造,図,特記,仕様,入力,BIM,スリーブ,径位置,補強,方法,構造,的,妥当,性,判断,システム,開発,成功,寄与,従来,作業,データ,連動,作業,効率,化,数,鉄骨,納期,鉄骨,作成,図,作成,時期,前倒し,課題,システム,規模,物件,最大,5,～,6,程度,鉄骨,製作,着手,時期,大幅,前倒し,可能,同社,今年度,規模,物件,中心,年間,累計,20,万,t,程度,鉄骨,集中,管理,鉄骨,製作,時期,大幅,前倒し,鉄骨,安定,供給,方針,"
26,2015.04.22,"一般,社団,法人,日本,建築,学会,2015,年,日本,建築,学会,賞,4,月,21,日,発表,大賞,シェル,空間,構造,設計,法,確立,構造,建築,デザイン,貢献,川口,衞,氏,(,法政大学,名誉,教授,),日本,住宅,史学,研究,教育,建築,文化財,保全,顕著,貢献,平井,聖,氏,(,東京工業大学,名誉,教授,昭和女子大学,特,任,教授,),それぞれ,受賞,注目,学会,賞,(,作品,),上州富岡,駅,武井,誠,氏,鍋島,千恵,氏,(,いずれ,TNA,),木,構築,工学院大学,弓道,場,ボクシング,場,福島,加津,也氏,冨永,祥子,氏,(,いずれ,福島,加津,也,+,冨永,祥子,建築,設計,事務所,),2,作品,受賞,上州富岡,駅,駅舎,建築,形式,意味,建築,点,評価,木,構築,工学院大学,弓道,場,ボクシング,場,木造,原点,われわれ,再考,力,点,評価,受賞,"
27,2015.04.24,"一般,社団,法人,IAI,日本,9,月頃,開催,予定,BIM,活用,バーチャル,設計,コンペティション,Build,Live,Japan,2015,以下,BLJ,2015,開催,課題,敷地,決定,大分,県,杵築,市,公式,現地,見学,会,6,月,13,日,(,土,),発表,杵築,市,城下町,南北,高台,武家,屋敷,中心,商店,街,商家,どら,建物,群,建築,観点,多く,人,魅了,いま,空き地,IAI,日本,見学,会,参加,杵築,市,歴史,的,景観,課題,敷地,確認,城下町,ほか,建物,調和,新た,魅力,建物,イメージ,見学,会,現地,見学,主催,者,コンペ,概要,説明,BLJ,2015,興味,学生,企業,予定,そ,場,チーム,結成,時間,提供,"
28,2015.04.24,"ミサワホーム,ミサワホーム,総合,研究所,KDDI,共同,開発,戸,建,住宅,専用,地震,発生,時,被災,度,判定,GAINET,ガイネット,4,月,下旬,発売,GAINET,住宅,基礎,部分,設置,計測,部,計測,地震,波,もと,リアルタイム,震度,建物,地盤,被災,度,ランク,表示,音,連動,警告,システム,システム,住宅,オーナー,自宅,避難,判断,参考,可能,測定,震度,建物,被災,度,データ,LTE,ネットワーク,経由,瞬時,クラウドサーバ,集約,同社,住宅,オーナー,全国,建物,ごと,被災,度,短期間,把握,建物,緊急,度,オーナー,サポート,今後,グループ,KDDI,LTE,ネットワーククラウド,さまざま,情報,収集,分析,可能,性,利便,性,サービス,提供,検討,方針,"
30,2015.04.27,"公益社,団,法人,日本,ファシリティ,マネジメント,協会,(,以下,JFMA,),4,月,30,日,発行,ファシリティ,マネジャー,BIM,活用,ガイドブック,出版,記念,シンポジウム,5,月,20,日,(,水,),開催,同書,JFMABIM,FM,研究,部会,2,年,BIM,データ,FM,活用,ポイント,待望,一,冊,シンポジウム,FM,BIM,関係,FM,BIM,活用,メリット,可能,性,解説,同書,主,執筆,者,ガイドブック,解説,パネル,ディスカッション,構成,"
31,2015.04.30,"一般,財団,法人,建設,業,振興,基金,機器,ライブラリー,StemStem,2,D,版,サイト,5,月,1,日,サイト,Stem,2,D,3,D,統合,版,移行,Stem,建設,業,振興,基金,運営,機器,ライブラリー,データ,配信,サービス,現状,機械,設備,機器,登録,68,,,000,点,以上,電気,設備,機器,登録,16,,,000,点,以上,サイト,既報,とおり,機器,ライブラリー,Stem,活動,建築,保全,センター,サイト,建設,業,振興,基金,最長,3,年間,運営,継続,予定,今回,移行,現在,登録,済み,会員,情報,すべて,削除,5,月,1,日,以降,利用,際,会員,登録,必要,サイト,利用,無料,3,D,データ,テスト,用,評価,データ,みと,移行,作業,5,月,1,日,8,時,～,13,時,サイト,会員,登録,利用,5,月,1,日,13,時,以降,見込み,"
32,2015.05.01,"一般,社団,法人,照明,学会,平成,27,年度,(,48,回,),照明,学会,全国,大会,8,月,27,日,(,木,)～,29,日,(,土,),開催,照明,学会,1916,年,創立,我が国,照明,技術,発展,照明,知識,普及,貢献,現在,照明,視覚,光,放射,オプトエレクトロニクス,建築,環境,光,バイオニクス,光,ハード,ソフト,デザイン,分野,研究,調査,情報,交換,研究,助成,照明,学会,全国,大会,原則,年,1,回,開催,会員,論文,発表,シンポジウム,講演,懇親,会,48,回,今年度,大会,福井,県,開催,会場,講演,会場,福井大学,式典,特別,講演,福井,県,県民,ホール,情報,交流,会,ユアーズホテルフクイ,講演,照明,デザイン,照明,理論,テーマ,発表,予定,"
33,2015.05.07,"安井,建築,設計,事務所,現在,BIMFM,推進,フェーズ,同社,設計,加賀電子,本社,ビル,BIMFM,実践,同社,竣工,図,基,BIMFM,データ,整理,建築,情報,マネジメント,システム,開発,熊本大学,大西,研究,室,使用,ALSOK,建物,機器,情報,管理,ら,インターネット,経由,PC,ローカル,管理,ほか,スマート,フォン,使用,手元,管理,実現,同社,環境,センサー,活用,温,湿度,状態,管理,エネルギー,管理,複数,遠隔,地,維持,管理,支援,効率,的,ビル,マネジメント,LCC,低減,省エネルギー,化,実現,視野,今後,開発,レベル,一段,上げ,新規,既存,建物,BIMFM,化,メンテナンス,費用,削減,メリット,収益,性,整理,BIM,プロパティマネジメント,展開,拡大,考え,"
34,2015.05.11,"一般,社団,法人,日本,建築,学会,情報,システム,技術,委員,会,スマート,建築,モニタリング,応用,小,委員,会,2,回,ゼロ,エネルギー,建築,知的,環境,シンポジウム,5,月,15,日,(,金,),開催,スマート,建築,モニタリング,応用,小,委員,会,建築,構造,物,計画,設計,施工,運用,維持,管理,段階,建築,モニタリング,情報,システム,研究,センシング,技術,普及,展開,3,・,11,以降,建築,対象,エネルギー,モニタリング,注目,省エネルギー,目的,取り組み,活発,化,将来,的,ゼロ,エネルギー,建築,実現,普及,エネルギー,消費,量,観点,快適,さ,個人,個人,知的,環境,創造,必要,先進,的,情報,通信,技術,応用,必須,よう,背景,一般,社団,法人,電子,情報,通信,学会,知的,環境,センサネットワーク,研究,会,"
35,2015.05.11,"デジタル,建築,都市,設計,技術,国際,会議,CAADRIA,2015,5,月,20,日,～,23,日,日程,韓国,大邱,開催,CAADRIA,1996,年,毎年,アジア,各国,持ち回り,開催,今回,開催,20,回,目,毎回,世界,各国,数,百,名,規模,研究,者,実務,者,学生,参加,前回,日本,ホスト,国,京都,開催,過去,最高,26,ヵ国,230,名,以上,研究,者,実務,者,学生,参加,今回,会議,カリフォルニア,大学,バークレー,校,Yehuda,E,.,Kalay,氏,はじめ,著名,研究,者,基調,講演,各国,研究,者,実務,者,研究,発表,ワークショップ,構成,参加,費,有料,会議,情報,申し込み,方法,CAADRIA,2015,Web,サイト,掲載,"
36,2015.05.13,"国土,交通省,5,月,12,日,平成,27,年,3,月,分,建設,工事,受注,動態,統計,調査,公表,国土,交通省,総合,政策,局,発表,資料,平成,27,年,3,月,分,建設,工事,受注,総額,8,兆,7,,,972,億,円,比,2,.,6,％,増加,6,連続,増加,受注,者,別,請受注,高,6,兆,3,,,725,億,円,比,4,.,8,%,増,6,連続,増加,下請,受注,高,2,兆,4,,,248,億,円,2,.,8,%,減,4,連続,減少,請受注,高,うち,公共,機関,受注,高,2,兆,1,,,949,億,円,比,8,.,7,%,減,民間,等,受注,高,4,兆,1,,,776,億,円,13,.,6,%,増加,工事,種類,別,建築,工事,3,兆,5,,,904,億,円,比,13,.,6,%,増,6,連続,増加,土木,工事,2,兆,2,,,685,億,円,0,.,9,%,減,3,減少,機械,装置,等,工事,5,,,136,億,円,18,.,7,%,減,3,減少,"
37,2015.05.15,"マテリアライジング,展,Ⅲ,情報,物質,とそ,あいだ,5,月,16,日,～,6,月,21,日,京都市立芸術大学,ギャラリー,@,KCUA,開催,建築,工学,生命,科学,美術,第一線,研究,者,出品,反響,同展,デジタルファブリケーション,美術,デザイン,可能,性,展覧,会,今回,3,回,目,開催,近年,国内,レーザー,カッター,3,D,プリンタデジタルファブリケーション,技術,注目,そ,技術,体系,革新,性,芸術,表現,世界,重要,関心,よう,背景,同展,ポスト,デジタル,時代,人間,創造,性,ゆくえ,領域,横断,的,視座,多角,的,内容,入場,料,無料,情報,マテリアライジング,展,Web,サイト,掲載,"
38,2015.05.18,"鹿島建設,プロジェクト,運営,効率,化,今年度,建築,工事,現場,BIM,導入,方針,同社,昨年度,累計,340,現場,BIM,導入,実績,現場,BIM,導入,同社,開発,Global,BIM,®,寄与,Global,BIM,クラ,ウド,上,BIM,データ,世界,規模,共有,システム,プロジェクト,関係,社内外,複数,企業,協調,作業,スムーズ,データ,連携,可能,4,月,新た,Global,BIM,®,ver,.,2,運用,開始,同社,所有,グラフィソフトジャパン,ArchiCAD,ライセンス,協力,会社,製品,所有,BIM,アプリケーション,使用,可能,ArchiCAD,アドオンソフト,BIM,事業,提携,先,韓国,Doalltech,社,共同,BIM,進捗,管理,システム,BIM,施工,計画,システム,開発,6,月,世界,同時,リリース,予定,同社,物件,対象,ら,システム,適用,推進,"
39,2015.05.20,"大和ハウス,工業,スマート,ハウス,活用,新た,サービス,創出,アプリ,開発,コンテスト,家,CON,2015,開催,家,CON,2015,スマート,ハウス,収集,HEMS,データ,家電,設備,機器,制御,機能,Web,上,公開,地図,情報,気象,情報,インターネット,接続,家庭,用,ロボット,センサー,新た,発想,アプリケーション,サービス,開発,コンテスト,参加,者,特設,サイト,無償,提供,シミュレーター,ソフト,スマート,メーター,家電,設備,機器,アプリ,開発,可能,コンテスト,小林,茂,氏,(,情報,科学,芸術,大学院,大学,(,IAMAS,),教授,),審査,員,最優秀,賞,賞金,100,万,円,贈呈,5,月,18,日,応募,受付,中,応募,期限,7,月,21,日,情報,家,CON,2015,Web,サイト,掲載,"
40,2015.05.25,"一般,社団,法人,IAI,日本,今年度,1,回,セミナー,6,月,2,日,(,火,),開催,今年度,1,回,セミナー,矢吹,信喜,氏,(,大阪大学,大学院,教授,),BIMCIM,IFC,国際,的,状況,日本,期待,テーマ,講演,IAI,日本,構造,分科,会,STBridge,普及,構造,情報,連携,マップ,紹介,昨年度,末,開始,IFC,検定,概要,結果,報告,本年度,予定,紹介,構成,セミナー,あと,社員,総会,開催,こちら,IAI,日本,会員,参加,可能,セミナー,参加,費,無料,定員,100,名,セミナー,参加,参加,申込,フォーム,事前,申し込み,必要,上記,セミナー,詳細,申し込み,方法,IAI,日本,Web,サイト,掲載,"
41,2015.05.27,"サイト,クローズアップ,紹介,反響,横浜,港,大,さん,橋,国際,客船,ターミナル,デザイン,考察,シンポジウム,関連,講演,会,6,月,5,日,(,金,),開催,6,月,6,日,(,土,)～,7,日,(,日,),イベント,Continuous,Architecture,建築,アイディア,中心,議論,講演,会,横浜,港,大,さん,橋,時代,象徴,建築,自体,フォーカス,出演,者,ターミナル,設計,者,アレハンドロ・ザエラ・ポロ,氏,慶應義塾,大学,池田,靖,史,氏,東京大学,小渕,祐介,氏,清水建設,大橋,成基,氏,会場,東京,京橋,清水建設,本社,シミズホール,慶應義塾,大学,東京大学,主催,参加,費,無料,こちら,参加,事前,申し込み,必要,上記,講演,会,詳細,申し込み,方法,T,_,ADSWeb,サイト,掲載,"
42,2015.05.28,"一般,社団,法人,日本,建設,業,連合,会,以下,日建,連,2015,施工,CIM,事例,集,発行,Web,サイト,公開,開始,同書,日建,連,インフラ,再生,委員,会,技術,部会,部会,2014,年度,成果,事例,集,内容,日建,連,会員,企業,各種,工事,工事,全体,工事,一,部分,3,D,モデル,構築,施工,CIM,適用,効果,課題,抽出,成果,本編,CIM,導入,目的,効果,事例,2,ページ,単位,紹介,同書,12,社,29,事例,ダム,橋梁,工事,CIM,活用,事例,維持,管理,初期,モデル,提案,4,事例,掲載,74,ページ,日建,連,今後,事例,増加,随時,追加,改訂,事例,紹介,方針,同書,日建,連,Web,サイト,無料,ダウンロード,可能,"
43,2015.05.29,"日刊,建設,通信,新聞,社,セミナー,施工,BIM,インパクト,東京,大阪,開催,セミナー,建築,プロジェクト,BIM,導入,進展,中,施工,段階,活用,急速,日本,建設,業,連合,会,刊行,施工,BIM,スタイル,題材,施工,段階,建設,会社,専門,工事,会社,連携,事例,日本,建築,生産,システム,BIM,関係,性,考察,内容,施工,BIM,スタイル,BIM,優位,性,基調,報告,建設,会社,編,専門,工事,会社,編,事例,報告,パネル,ディスカッション,構成,開催,日,大阪,会場,6,月,26,日,(,金,),東京,会場,6,月,30,日,(,火,)。,入場,無料,会場,参加,申込,フォーム,事前,申し込み,必要,上記,セミナー,申し込み,建設,通信,新聞,Web,サイト,"
44,2015.06.01,"BIM,活用,バーチャル,設計,コンペティション,Build,Live,Japan,2015,以下,BLJ,2015,9,月,9,日,開催,決定,募集,要項,公開,サイト,既報,とおり,課題,敷地,大分,県,杵築,市,今回,BLJ,2015,住民,コンペ,模様,コミュニケーション,新た,手法,点,特徴,主催,者,IAI,日本,参加,チーム,案,地域,歓迎,作品,現実,そ,建築,物,実現,動き,可能,性,すべて,作品,杵築,市,観光,振興,多く,人,鑑賞,7,メリット,スキル,可能,性,プロポーザル,登録,Build,Live,登録,受付,6,月,中旬,開始,結果,10,月,開催,Archi,Future,2015,発表,BLJ,2015,スケジュール,募集,要項,IAI,日本,Web,サイト,掲載,"
45,2015.06.01,"東洋熱工業,3,D,スキャナ,BIM,連携,品質,化,省力,化,リニューアル,施工,開始,建物,改修,際,現況,図,図面,最新,状況,反映,ケース,そ,建物,改修,際,3,D,スキャナ,使用,3,D,スキャナ,点,群,データ,BIM,モデル,作成,作業,点,群,データ,参考,資料,利用,点,群,データ,トレース,同社,エリジオン,点,群,処理,ソフト,InfiPoints,点,群,自動,平面,円柱,形状,抽出,NYK,システムズ,建築,設備,BIM,ソフト,Rebro,BIM,モデル,作成,省力,化,精度,化,可能,BIM,モデル,施工,検討,各種,シミュレーション,行い,施工,品質,向上,同社,今後,ソフト,間,連携,強化,品質,化,省力,化,"
46,2015.06.08,"清水建設,工事,現場,発生,騒音,とそ,対策,効果,近隣,住民,体感,バーチャル,リアリティ,技術,活用,工事,現場,騒音,シミュレーション,システム,開発,システム,タブレット,体感,点,特徴,タブレット,入力,騒音,源,とそ,発生,位置,騒音,対策,案,任意,地点,騒音,瞬時,予測,数値,化,リアル,音,再現,騒音,源,騒音,対策,容易,設定,可能,システム,条件,入力,短時間,近隣,住民,騒音,対策,協議,シミュレーション,可能,騒音,リアル,再現,映画,館,立体,音響,再現,技術,採用,道路,通過,ダンプ,騒音,再現,ダンプ,目前,よう,感覚,騒音,対策,場合,対策,変更,場合,騒音,変化,リアル,再現,"
47,2015.06.05,"日建,設計,デジタル,デザイン,技術,テクニック,共有,Web,サイト,open,DDL,.,com,開設,サイト,日建,設計,デジタルデザインラボ,以下,日建,設計,DDL,ハブ,社会,人,学生,組織,アトリエ,大学,枠,多種,多様,ユーザー,デジタル,デザイン,情報,投稿,技術,情報,共有,目的,日建,設計,DDL,投稿,スパイラル,フレーム,(,スクリプト,),Rhinoceros,AutoCAD,コマンド,統一,方法,日建,設計,DDL,ソフトウエア,環境,50,投稿,アップ,サイト,投稿,open,DDL,アカウント,登録,必要,サイト,内容,open,DDL,閲覧,"
